,CPI,PPI,PMI,retail,rate,SF,BY2,BY10,DI,ER,CCPI,return_t+1(%)
201910,3.7551002,-1.6,52.0,38104.3,2.94,6189.0,2.7017388888888885,3.2060055555555556,116.7511,7.0961,144.85666666666665,0.1661111111111111
201911,4.4884258,-1.4,53.2,38093.8,2.935586,17500.0,2.761214285714286,3.2228238095238093,116.5637,7.0199,147.53199999999998,-0.13904761904761903
201912,4.45517388,-0.5,52.6,38776.7,3.12,21030.28486,2.6897227272727275,3.1722181818181814,115.9139,7.0137,149.29250000000002,0.3631818181818182
202001,5.3845689,0.1,51.9,29990.638431400006,2.25,50700.0,2.49688125,3.09445625,115.2819,6.9184,152.53,-0.71375
202002,5.1747758,-0.4,27.5,29990.638431400006,2.2,8554.0,2.258965,2.83383,116.7138,6.9967,143.695,0.5035000000000001
202003,4.2700636,-1.5,46.7,26449.9,2.771875,51546.0,2.076631818181818,2.653440909090909,121.0245,7.0205,126.5675,-0.4436363636363636
202004,3.29199133,-3.1,47.6,28177.8,1.99,30900.0,1.4345190476190477,2.5481190476190476,123.2835,7.0708,115.5675,0.3314285714285714
202005,2.43772471,-3.7,54.5,31972.8,3.162625,31900.0,1.4862555555555557,2.6791,122.6187,7.1016,116.08800000000001,0.055
202006,2.48342187,-3.0,55.7,33525.9,2.692727,34266.0,2.195035,2.82821,119.6809,7.0816,133.6925,0.34049999999999997
202007,2.69585411,-2.4,54.5,32202.5,2.553918,16900.0,2.416073913043478,2.9492217391304347,118.6956,7.0041,141.426,0.5313043478260869
202008,2.37561276,-2.0,55.1,33570.6,2.64,35800.0,2.638347619047619,2.9866619047619047,116.9526,6.927,145.6775,0.07619047619047621
202009,1.71747588,-2.1,54.5,35294.7,3.81,34771.91633,2.790631818181818,3.1115818181818184,116.3489,6.8106,142.8,-0.1468181818181818
202010,0.5,-2.1,55.7,38576.5,3.02,14200.0,2.8803625,3.19434375,115.7839,6.7254,142.20999999999998,0.05687500000000004
202011,-0.5,-1.5,57.5,39514.2,3.01467,21300.0,2.985547619047619,3.255504761904762,114.0998,6.6029,145.99,0.3419047619047619
202012,0.2,-0.4,55.8,40566.0,3.096679,17164.0,2.8852,3.2444826086956517,111.9016,6.5393,158.0,0.1726086956521739
202101,-0.3,0.3,52.2,29990.638431400006,2.43,51700.0,2.6808699999999996,3.150095,111.4914,6.4672,165.424,0.1505
202102,-0.2,1.7,51.7,29990.638431400006,3.1121305631067955,17100.0,2.7956866666666667,3.24178,112.0248,6.4601,173.41333333333333,0.014000000000000028
202103,0.4,4.4,53.1,35484.1,3.30375,33531.0,2.823408695652174,3.239226086956522,113.349,6.5109,176.7775,-0.24043478260869566
202104,0.9,6.8,54.7,33152.6,2.872827,18500.0,2.7287666666666666,3.1901333333333333,112.6409,6.5186,175.778,-0.04190476190476191
202105,1.3,9.0,53.8,35945.1,2.866078,19200.0,2.6026666666666665,3.1228,111.2263,6.432,180.82,0.3061111111111111
202106,1.1,8.8,50.6,37585.8,3.1121305631067955,36700.0,2.7067428571428573,3.096533333333333,111.5885,6.425,178.835,-0.09857142857142856
202107,1.0,9.0,53.1,34925.1,2.0,10600.0,2.537881818181818,2.966727272727273,113.069,6.4763,180.38400000000001,-0.25227272727272726
202108,0.8,9.5,47.2,34394.9,2.69,29600.0,2.5000954545454546,2.852186363636364,113.4092,6.4768,175.94,-0.05454545454545454
202109,0.7,10.7,51.4,36833.0,2.47,29000.0,2.512175,2.86407,113.4482,6.4563,176.91,0.06699999999999999
202110,1.5,13.5,51.5,40453.9,2.749206,15900.0,2.58,2.971875,114.074,6.4172,187.2775,-0.04687500000000001
202111,2.3,12.9,51.2,41043.2,2.89,26100.0,2.513181818181818,2.897727272727273,115.0016,6.3889,184.2825,-0.041818181818181824
202112,1.5,10.3,53.0,41268.9,3.1121305631067955,23700.0,2.486086956521739,2.8317391304347823,115.8134,6.3693,178.322,0.06999999999999999
202201,0.9,9.1,50.1,29990.638431400006,2.229044,61700.0,2.285263157894737,2.761578947368421,115.0496,6.3556,186.6825,-0.30473684210526314
202202,0.9,8.8,50.1,29990.638431400006,2.603,11900.0,2.2425,2.78625,115.0131,6.3436,194.53,-0.015625
202203,1.5,8.3,43.9,34233.1,2.538231,46500.0,2.3156521739130436,2.817391304347826,116.3674,6.3446,206.86,-0.31695652173913036
202204,2.1,8.0,37.2,29483.1,2.31977,9102.0,2.2863157894736843,2.7942105263157893,117.1794,6.431,207.70999999999998,-0.32052631578947366
202205,2.1,6.4,42.2,33547.0,2.497546,27900.0,2.217368421052632,2.794736842105263,119.665,6.699,209.51,0.10210526315789475
202206,2.5,6.1,55.3,38742.5,2.441889,51700.0,2.2604761904761905,2.7804761904761905,119.9628,6.6952,210.3225,0.4342857142857143
202207,2.7,4.2,54.0,35870.1,2.369914,7561.0,2.2523809523809524,2.797142857142857,122.6483,6.7352,201.23200000000003,-0.30095238095238097
202208,2.5,2.3,53.0,36257.9,2.48557,24300.0,2.1052173913043477,2.6708695652173913,122.2373,6.8007,195.7775,-0.14869565217391303
202209,2.8,0.9,48.5,37744.9,2.304851,35300.0,2.084761904761905,2.6595238095238094,125.5069,7.0195,192.212,-0.3904761904761904
202210,2.1,-1.3,48.3,40270.5,2.195907,9079.0,2.08125,2.7125,127.4084,7.1902,196.04333333333332,-0.134375
202211,1.6,-1.3,47.0,38615.1,2.538477,19900.0,2.2459090909090906,2.776818181818182,124.8149,7.1812,194.6875,0.3240909090909091
202212,1.8,-0.7,48.3,40542.3,2.48839,13100.0,2.382727272727273,2.87,122.2021,6.9717,188.154,-0.024090909090909086
