指标名称,中证国债到期收益率:2年
2007/12/14,3.93
2007/12/17,3.94
2007/12/18,3.9504
2007/12/19,3.9539
2007/12/20,3.9481
2007/12/21,3.9324
2007/12/24,3.9008
2007/12/25,3.8534
2007/12/26,3.8515
2007/12/27,3.8584
2007/12/28,3.913
2008/1/2,3.9579
2008/1/3,3.9486
2008/1/4,3.8975
2008/1/7,3.8757
2008/1/8,3.8515
2008/1/9,3.8713
2008/1/10,3.8791
2008/1/11,3.8452
2008/1/14,3.8159
2008/1/15,3.7805
2008/1/16,3.8332
2008/1/17,3.8269
2008/1/18,3.8422
2008/1/21,3.8362
2008/1/22,3.8206
2008/1/23,3.8243
2008/1/24,3.8213
2008/1/25,3.8082
2008/1/28,3.7706
2008/1/29,3.7371
2008/1/30,3.7531
2008/1/31,3.7392
2008/2/1,3.7062
2008/2/4,3.5981
2008/2/5,3.5834
2008/2/13,3.5624
2008/2/14,3.5555
2008/2/15,3.5564
2008/2/18,3.5689
2008/2/19,3.5828
2008/2/20,3.5807
2008/2/21,3.5962
2008/2/22,3.5911
2008/2/25,3.6092
2008/2/26,3.6119
2008/2/27,3.6174
2008/2/28,3.6249
2008/2/29,3.6214
2008/3/3,3.6213
2008/3/4,3.6145
2008/3/5,3.6248
2008/3/6,3.6261
2008/3/7,3.6194
2008/3/10,3.6199
2008/3/11,3.6354
2008/3/12,3.6405
2008/3/13,3.6502
2008/3/14,3.6451
2008/3/17,3.6581
2008/3/18,3.6413
2008/3/19,3.6245
2008/3/20,3.6184
2008/3/21,3.5978
2008/3/24,3.5869
2008/3/25,3.5577
2008/3/26,3.536
2008/3/27,3.5128
2008/3/28,3.5062
2008/3/31,3.5138
2008/4/1,3.5122
2008/4/2,3.519
2008/4/3,3.5183
2008/4/7,3.5408
2008/4/8,3.553
2008/4/9,3.5597
2008/4/10,3.5613
2008/4/11,3.5568
2008/4/14,3.5402
2008/4/15,3.5101
2008/4/16,3.5107
2008/4/17,3.5091
2008/4/18,3.5101
2008/4/21,3.5096
2008/4/22,3.5025
2008/4/23,3.5069
2008/4/24,3.5023
2008/4/25,3.5109
2008/4/28,3.5192
2008/4/29,3.5226
2008/4/30,3.5266
2008/5/5,3.4982
2008/5/6,3.4905
2008/5/7,3.5146
2008/5/8,3.5432
2008/5/9,3.5496
2008/5/12,3.5495
2008/5/13,3.5414
2008/5/14,3.5454
2008/5/15,3.5591
2008/5/16,3.5852
2008/5/19,3.5842
2008/5/20,3.5938
2008/5/21,3.5842
2008/5/22,3.575
2008/5/23,3.5715
2008/5/26,3.5852
2008/5/27,3.5951
2008/5/28,3.5857
2008/5/29,3.5944
2008/5/30,3.5864
2008/6/2,3.5964
2008/6/3,3.5717
2008/6/4,3.5806
2008/6/5,3.5631
2008/6/6,3.5966
2008/6/10,3.6057
2008/6/11,3.6329
2008/6/12,3.659
2008/6/13,3.6731
2008/6/16,3.6728
2008/6/17,3.6655
2008/6/18,3.6551
2008/6/19,3.6358
2008/6/20,3.6369
2008/6/23,3.6429
2008/6/24,3.6656
2008/6/25,3.6506
2008/6/26,3.654
2008/6/27,3.6787
2008/6/30,3.7424
2008/7/1,3.7943
2008/7/2,3.7982
2008/7/3,3.789
2008/7/4,3.7767
2008/7/7,3.7893
2008/7/8,3.7974
2008/7/9,3.7987
2008/7/10,3.7979
2008/7/11,3.7685
2008/7/14,3.7507
2008/7/15,3.7346
2008/7/16,3.7417
2008/7/17,3.7631
2008/7/18,3.7681
2008/7/21,3.7797
2008/7/22,3.781
2008/7/23,3.7794
2008/7/24,3.7674
2008/7/25,3.7681
2008/7/28,3.7804
2008/7/29,3.7843
2008/7/30,3.7856
2008/7/31,3.7892
2008/8/1,3.7979
2008/8/4,3.8195
2008/8/5,3.8293
2008/8/6,3.8266
2008/8/7,3.8152
2008/8/8,3.8002
2008/8/11,3.7973
2008/8/12,3.7944
2008/8/13,3.7919
2008/8/14,3.7911
2008/8/15,3.7877
2008/8/18,3.7837
2008/8/19,3.7825
2008/8/20,3.7802
2008/8/21,3.7551
2008/8/22,3.7329
2008/8/25,3.7141
2008/8/26,3.7193
2008/8/27,3.7243
2008/8/28,3.7283
2008/8/29,3.7145
2008/9/1,3.6899
2008/9/2,3.6752
2008/9/3,3.6585
2008/9/4,3.656
2008/9/5,3.6506
2008/9/8,3.6439
2008/9/9,3.6299
2008/9/10,3.6188
2008/9/11,3.6106
2008/9/12,3.5782
2008/9/16,3.4834
2008/9/17,3.3654
2008/9/18,3.2552
2008/9/19,3.2778
2008/9/22,3.3415
2008/9/23,3.3779
2008/9/24,3.4048
2008/9/25,3.4159
2008/9/26,3.4079
2008/10/6,3.3555
2008/10/7,3.3798
2008/10/8,3.333
2008/10/9,3.147
2008/10/10,2.9546
2008/10/13,2.8397
2008/10/14,2.7981
2008/10/15,2.7972
2008/10/16,2.7914
2008/10/17,2.766
2008/10/20,2.7741
2008/10/21,2.7843
2008/10/22,2.8004
2008/10/23,2.806
2008/10/24,2.783
2008/10/27,2.7989
2008/10/28,2.7685
2008/10/29,2.7745
2008/10/30,2.7184
2008/10/31,2.6888
2008/11/3,2.6317
2008/11/4,2.6069
2008/11/5,2.5973
2008/11/6,2.5589
2008/11/7,2.5125
