指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201705,3.29435,4.35,3.534322727,4.908813636,364.85,12.7,15400.0,9.2,229662.13,1599.31,219.75,6.6,15.0,-356.0,1.73,105.1,102.1,106.9,104.8,112.1,102.0,106.4,110.9,112.7,127.4,110.7,150.8,104.0,-2.8,-1.2,2.5197,1.0765,0.1498,2.5126,-0.2,1.3,0.1,0.008964,10.7,3.996666667,2.3,25885.91095,137503.6063,17.0,16.98,3145.78215,3294.525368,0.484109091,0.109710636,1.985066667
201706,3.325433333,4.35,3.514504762,4.973661905,364.75,13.0,8255.0,9.4,224936.93,1152.03,219.75,6.1,15.3,151.0,1.716666667,104.0,100.1,102.2,105.4,102.4,101.6,105.7,108.4,104.3,109.5,102.0,117.5,106.5,-15.8,-1.1,2.4963,1.1371,-0.2353,2.4812,0.2,1.2,0.0,0.00665,9.2,3.983333333,2.266666667,21188.10657,158691.7129,17.48,17.47,3222.186262,3374.590557,0.657690476,0.120218857,2.058516129
201707,3.463095652,4.35,3.598669565,4.881113043,392.22,12.6,10900.0,9.0,227174.06,1259.06,219.75,6.5,14.0,422.0,1.716666667,102.9,96.4,99.5,102.1,104.5,101.9,102.3,104.7,100.7,109.6,97.8,119.0,103.5,7.0,-0.2,2.6753,1.2537,0.7212,2.5206,0.9,1.4,0.0,0.011434,11.0,3.983333333,2.266666667,20485.50771,179177.2206,18.0,17.99,3287.491704,3442.95313,0.722047826,0.11726513,2.092541935
201708,3.515077273,4.35,3.613040909,4.754066667,294.25,12.5,12700.0,9.3,228516.4173,1025.4681,219.752,7.2,14.0,2198.0,1.716666667,102.7,96.2,98.1,105.0,103.7,99.3,103.1,105.9,105.4,109.6,98.6,115.9,103.3,14.9,-1.4,2.7522,1.3678,0.5278,2.2807,1.0,1.2,0.0,0.009873,9.9,3.983333333,2.266666667,25438.60694,204615.8275,18.02,18.01,3363.203614,3521.921533,0.658728571,-0.016467286,2.124076667
201709,3.402276471,4.35,3.739535294,4.648082353,216.31,12.4,6632.0,9.1,229778.4363,1095.8403,219.752,6.3,13.0,-1518.0,1.403333333,102.3,96.2,98.4,101.3,105.2,96.7,99.9,101.2,104.6,103.9,95.9,112.1,99.3,2.5,-0.4,2.8333,1.4789,0.831,2.2515,0.7,0.9,0.0,0.013324,8.6,3.716666667,2.266666667,15861.15144,220476.979,18.37,18.36,3386.900035,3546.821029,0.516194118,0.078065176,2.139480645
201710,3.389559091,4.35,3.889904545,4.559463636,570.2,12.6,11200.0,9.6,231218.49,1243.26,219.75,5.7,12.7,392.0,1.403333333,103.1005,97.1,98.2,106.5,100.8,99.3,102.5,102.1,103.2,102.3,106.3,103.7,98.9,90.0,-1.1,2.8018,1.5367,1.3266,2.0407,0.5,0.7,0.0,0.012796,7.1,3.716666667,2.266666667,22955.98125,243432.9602,18.11,18.1,3388.215736,3548.477018,0.585190909,-0.100899545,2.078586667
201711,3.452957143,4.35,3.844008696,4.586366667,715.81,12.1,5844.0,9.0,243802.2825,880.004,219.752,3.4,11.8,2023.0,1.403333333,100.4417,94.8,96.6,105.1,95.8,94.2,99.2,103.7,101.7,99.1,101.3,98.5,96.3,-8.8,-0.4,2.8,1.6,1.2,2.1,0.8,0.6,-0.2,0.014211,5.7,3.716666667,2.266666667,18102.88255,261535.8428,18.16,18.15,3293.650395,3449.408743,0.446233333,-0.012533524,2.017483871
201712,3.586459091,4.35,3.856272727,4.662690909,263.91,12.6,29000.0,10.5,224704.52,1024.71,219.75,-13.8,15.0,3991.0,2.096666667,100.516,96.5,97.8,104.0,96.6,96.8,97.3,90.9,96.2,104.3,99.9,109.8,99.1,0.6,-0.5,2.7,1.5,0.2,0.9,0.3,0.8,-0.3,0.012579,4.8,3.34,2.266666667,31417.22055,31417.22055,19.25,19.24,3457.017105,3620.749027,0.698727273,0.234562273,2.098974194
201801,3.1167,4.35,3.805923529,4.602273333,308.83,12.1,8393.0,8.6,224608.56,1005.51,219.75,13.5,8.5,6788.0,2.096666667,98.1,97.8,97.8,93.5,99.3,95.6,95.3,93.6,102.6,105.9,98.5,109.6,98.8,3.2,4.4,2.2,1.8,1.5,3.7,-0.1,0.5,-0.1,0.020132,4.9,3.34,2.266666667,12064.38793,43481.60848,18.29,18.28,3296.349753,3452.53238,0.613626667,-0.4228382,1.963014286
201802,3.1638,4.35,3.684068182,4.586031818,245.71,11.9,11200.0,8.7,238740.05,928.59,219.75,6.0,7.1,-8732.0,2.096666667,102.7,96.2,96.5,106.0,101.6,98.3,97.2,102.9,102.5,97.3,105.5,93.7,101.8,2.6,2.1,2.2,1.6,0.3,2.2,-0.2,0.3,-0.3,0.014399,3.9,3.34,2.266666667,17091.4767,60573.08518,17.77,17.77,3247.7535,3401.478173,0.532890909,-0.1232095,1.976587097
